contract,operationId,path,verb,state,siblingScreens,noScreenReason
identity,getAccessPolicyBundle,/access-policies/bundle,get,needsScreen,createAccessPolicy | listAccessPolicies,
identity,getAccessPolicy,/access-policies/{policyId},get,needsScreen,createAccessPolicy | listAccessPolicies,
identity,listAccessPolicyHistory,/access-policies/{policyId}/history,get,needsScreen,createAccessPolicy | listAccessPolicies,
identity,listAccessPolicyTemplates,/access-policy-templates,get,needsScreen,,
identity,listCustomerMemberships,/customers/{customerId}/memberships,get,needsScreen,,
identity,getMembership,/memberships/{membershipId},get,needsScreen,,
identity,recordBenefitUsage,/memberships/{membershipId}/benefit-usage,post,needsScreen,,
identity,listModules,/modules,get,needsScreen,,
identity,listPermissions,/permissions,get,needsScreen,resolvePermissions,
inventory,listStockReservations,/stock-reservations,get,needsScreen,,
marketing-crm,listBadges,/badges,get,needsScreen,,
marketing-crm,setBadge,/badges,put,needsScreen,,
marketing-crm,getSuppressionList,/consent/suppression-list,get,needsScreen,,
marketing-crm,addSuppression,/consent/suppression-list,post,needsScreen,,
marketing-crm,listCustomerBadges,/customers/{customerId}/badges,get,needsScreen,,
marketing-crm,awardBadge,/customers/{customerId}/badges,post,needsScreen,,
marketing-crm,submitForm,/form-submissions,post,needsScreen,,
